ip,country,region,city,org,asn,hostname,loc,lat,lon,status,fail_count,occ_count,first_seen,last_seen,mean_interarrival,unique_ports,unique_usernames,classification
45.159.112.142,,,,,,static.142.112.159.45.clients.irandns.com,,,,200,806,1351,2025-10-18T08:21:51+07:00,2025-10-18T17:09:34+07:00,23.454074074074075,273,2,bruteforce
185.169.6.22,,,,,,185.169.6.22.static.hostiran.name,,,,200,1381,2493,2025-10-18T08:21:57+07:00,2025-10-18T17:09:34+07:00,12.703451043338683,556,9,bruteforce
192.145.169.91,,,,,,,,,,200,2139,3703,2025-10-18T08:21:57+07:00,2025-10-18T17:10:33+07:00,8.567260940032416,763,3,bruteforce
45.140.17.97,,,,,,,,,,200,0,3,2025-10-18T08:22:03+07:00,2025-10-18T14:28:32+07:00,10994.5,3,0,other
49.248.175.215,,,,,,mail.flame.edu.in,,,,200,1695,2828,2025-10-18T08:22:30+07:00,2025-10-18T17:09:54+07:00,11.193491333569154,554,2,bruteforce
87.106.90.97,,,,,,,,,,200,108,163,2025-10-18T08:22:37+07:00,2025-10-18T17:04:04+07:00,193.12962962962962,55,1,bruteforce
190.129.122.185,,,,,,,,,,200,52,90,2025-10-18T08:22:40+07:00,2025-10-18T08:59:00+07:00,24.49438202247191,19,15,suspicious
171.254.92.61,,,,,,dynamic-adsl.viettel.vn,,,,200,207,276,2025-10-18T08:23:35+07:00,2025-10-18T17:05:16+07:00,113.82181818181819,69,1,bruteforce
185.102.75.74,,,,,,,,,,200,83,111,2025-10-18T08:29:00+07:00,2025-10-18T17:03:17+07:00,280.5181818181818,28,19,bruteforce
82.156.52.230,,,,,,,,,,200,0,1,2025-10-18T08:44:51+07:00,2025-10-18T08:44:51+07:00,,1,0,other
114.96.103.55,,,,,,,,,,200,2,4,2025-10-18T09:01:14+07:00,2025-10-18T09:01:22+07:00,2.6666666666666665,2,1,other
78.128.112.74,,,,,,ip-112-74.4vendeta.com,,,,200,15,20,2025-10-18T09:01:41+07:00,2025-10-18T16:46:34+07:00,1468.0526315789473,6,1,suspicious
195.178.110.15,,,,,,,,,,200,0,2,2025-10-18T09:14:12+07:00,2025-10-18T16:00:27+07:00,24375.0,2,0,other
197.243.67.27,,,,,,,,,,200,0,15,2025-10-18T09:18:29+07:00,2025-10-18T09:19:48+07:00,5.642857142857143,15,0,other
115.190.75.248,,,,,,,,,,200,19,48,2025-10-18T09:26:44+07:00,2025-10-18T10:17:15+07:00,64.48936170212765,22,6,other
196.251.114.29,,,,,,,,,,200,0,2,2025-10-18T09:26:45+07:00,2025-10-18T16:17:43+07:00,24658.0,1,0,other
204.76.203.83,,,,,,204.76.203.83.ptr.pfcloud.network,,,,200,20,37,2025-10-18T09:26:51+07:00,2025-10-18T16:24:03+07:00,695.3333333333334,17,1,suspicious
115.159.210.54,,,,,,,,,,200,0,1,2025-10-18T09:29:10+07:00,2025-10-18T09:29:10+07:00,,1,0,other
1.13.19.219,,,,,,,,,,200,0,1,2025-10-18T09:29:16+07:00,2025-10-18T09:29:16+07:00,,1,0,other
222.222.210.183,,,,,,,,,,200,2,3,2025-10-18T09:36:19+07:00,2025-10-18T09:36:23+07:00,2.0,1,1,other
103.82.21.8,,,,,,,,,,200,91,155,2025-10-18T09:43:12+07:00,2025-10-18T10:33:43+07:00,19.681818181818183,32,28,bruteforce
