timestamp,hostname,pid,service,ip,port,username,auth_method,protocol,event_type,detailed_label,raw_message
2025-10-18 08:21:51+07:00,TDC-250818413,748510,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:21:51+07:00,TDC-250818413,748510,sshd,45.159.112.142,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=45.159.112.142
2025-10-18 08:21:54+07:00,TDC-250818413,748510,sshd,45.159.112.142,33580,user,password,ssh2,fail,wrong_password,Failed password for invalid user user from 45.159.112.142 port 33580 ssh2
2025-10-18 08:21:55+07:00,TDC-250818413,748510,sshd,45.159.112.142,33580,,unknown,,info,disconnect,Received disconnect from 45.159.112.142 port 33580:11: Bye Bye [preauth]
2025-10-18 08:21:55+07:00,TDC-250818413,748510,sshd,45.159.112.142,33580,user,unknown,,fail,invalid_user,Disconnected from invalid user user 45.159.112.142 port 33580 [preauth]
2025-10-18 08:21:57+07:00,TDC-250818413,748513,sshd,185.169.6.22,,root,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.169.6.22  user=root
2025-10-18 08:21:57+07:00,TDC-250818413,748515,sshd,192.145.169.91,60232,admin,unknown,,fail,invalid_user,Invalid user admin from 192.145.169.91 port 60232
2025-10-18 08:21:58+07:00,TDC-250818413,748515,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:21:58+07:00,TDC-250818413,748515,sshd,192.145.169.91,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.145.169.91
2025-10-18 08:21:59+07:00,TDC-250818413,748513,sshd,185.169.6.22,50754,root,password,ssh2,fail,wrong_password,Failed password for root from 185.169.6.22 port 50754 ssh2
2025-10-18 08:22:00+07:00,TDC-250818413,748515,sshd,192.145.169.91,60232,admin,password,ssh2,fail,wrong_password,Failed password for invalid user admin from 192.145.169.91 port 60232 ssh2
2025-10-18 08:22:01+07:00,TDC-250818413,748513,sshd,185.169.6.22,50754,,unknown,,info,disconnect,Received disconnect from 185.169.6.22 port 50754:11: Bye Bye [preauth]
2025-10-18 08:22:01+07:00,TDC-250818413,748513,sshd,185.169.6.22,50754,,unknown,,info,disconnect,Disconnected from authenticating user root 185.169.6.22 port 50754 [preauth]
2025-10-18 08:22:02+07:00,TDC-250818413,748515,sshd,192.145.169.91,60232,,unknown,,info,disconnect,Received disconnect from 192.145.169.91 port 60232:11: Bye Bye [preauth]
2025-10-18 08:22:02+07:00,TDC-250818413,748515,sshd,192.145.169.91,60232,admin,unknown,,fail,invalid_user,Disconnected from invalid user admin 192.145.169.91 port 60232 [preauth]
2025-10-18 08:22:03+07:00,TDC-250818413,748518,sshd,,,,unknown,,error,connection_reset,error: kex_exchange_identification: read: Connection reset by peer
2025-10-18 08:22:03+07:00,TDC-250818413,748518,sshd,45.140.17.97,38685,,unknown,,error,connection_reset,Connection reset by 45.140.17.97 port 38685
2025-10-18 08:22:30+07:00,TDC-250818413,748519,sshd,49.248.175.215,55992,test,unknown,,fail,invalid_user,Invalid user test from 49.248.175.215 port 55992
2025-10-18 08:22:30+07:00,TDC-250818413,748519,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:22:30+07:00,TDC-250818413,748519,sshd,49.248.175.215,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=49.248.175.215
2025-10-18 08:22:32+07:00,TDC-250818413,748519,sshd,49.248.175.215,55992,test,password,ssh2,fail,wrong_password,Failed password for invalid user test from 49.248.175.215 port 55992 ssh2
2025-10-18 08:22:34+07:00,TDC-250818413,748519,sshd,49.248.175.215,55992,,unknown,,info,disconnect,Received disconnect from 49.248.175.215 port 55992:11: Bye Bye [preauth]
2025-10-18 08:22:34+07:00,TDC-250818413,748519,sshd,49.248.175.215,55992,test,unknown,,fail,invalid_user,Disconnected from invalid user test 49.248.175.215 port 55992 [preauth]
2025-10-18 08:22:35+07:00,TDC-250818413,748521,sshd,49.248.175.215,55290,ubnt,unknown,,fail,invalid_user,Invalid user ubnt from 49.248.175.215 port 55290
2025-10-18 08:22:35+07:00,TDC-250818413,748521,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:22:35+07:00,TDC-250818413,748521,sshd,49.248.175.215,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=49.248.175.215
2025-10-18 08:22:37+07:00,TDC-250818413,748523,sshd,87.106.90.97,,root,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=87.106.90.97  user=root
2025-10-18 08:22:38+07:00,TDC-250818413,748521,sshd,49.248.175.215,55290,ubnt,password,ssh2,fail,wrong_password,Failed password for invalid user ubnt from 49.248.175.215 port 55290 ssh2
2025-10-18 08:22:39+07:00,TDC-250818413,748523,sshd,87.106.90.97,46219,root,password,ssh2,fail,wrong_password,Failed password for root from 87.106.90.97 port 46219 ssh2
2025-10-18 08:22:40+07:00,TDC-250818413,748525,sshd,190.129.122.185,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=190.129.122.185
2025-10-18 08:22:40+07:00,TDC-250818413,748525,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:22:40+07:00,TDC-250818413,748521,sshd,49.248.175.215,55290,ubnt,unknown,,fail,invalid_user,Disconnected from invalid user ubnt 49.248.175.215 port 55290 [preauth]
2025-10-18 08:22:40+07:00,TDC-250818413,748521,sshd,49.248.175.215,55290,,unknown,,info,disconnect,Received disconnect from 49.248.175.215 port 55290:11: Bye Bye [preauth]
2025-10-18 08:22:40+07:00,TDC-250818413,748525,sshd,190.129.122.185,35184,demo,unknown,,fail,invalid_user,Invalid user demo from 190.129.122.185 port 35184
2025-10-18 08:22:41+07:00,TDC-250818413,748523,sshd,87.106.90.97,46219,,unknown,,info,other,Connection closed by authenticating user root 87.106.90.97 port 46219 [preauth]
2025-10-18 08:22:42+07:00,TDC-250818413,748525,sshd,190.129.122.185,35184,demo,password,ssh2,fail,wrong_password,Failed password for invalid user demo from 190.129.122.185 port 35184 ssh2
2025-10-18 08:22:43+07:00,TDC-250818413,748525,sshd,190.129.122.185,35184,,unknown,,info,disconnect,Received disconnect from 190.129.122.185 port 35184:11: Bye Bye [preauth]
2025-10-18 08:22:43+07:00,TDC-250818413,748525,sshd,190.129.122.185,35184,demo,unknown,,fail,invalid_user,Disconnected from invalid user demo 190.129.122.185 port 35184 [preauth]
2025-10-18 08:23:03+07:00,TDC-250818413,748527,sshd,192.145.169.91,,root,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.145.169.91  user=root
2025-10-18 08:23:06+07:00,TDC-250818413,748527,sshd,192.145.169.91,44456,root,password,ssh2,fail,wrong_password,Failed password for root from 192.145.169.91 port 44456 ssh2
2025-10-18 08:23:07+07:00,TDC-250818413,748527,sshd,192.145.169.91,44456,,unknown,,info,disconnect,Disconnected from authenticating user root 192.145.169.91 port 44456 [preauth]
2025-10-18 08:23:07+07:00,TDC-250818413,748527,sshd,192.145.169.91,44456,,unknown,,info,disconnect,Received disconnect from 192.145.169.91 port 44456:11: Bye Bye [preauth]
2025-10-18 08:23:16+07:00,TDC-250818413,748529,sshd,45.159.112.142,32860,admin,unknown,,fail,invalid_user,Invalid user admin from 45.159.112.142 port 32860
2025-10-18 08:23:17+07:00,TDC-250818413,748529,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:23:17+07:00,TDC-250818413,748529,sshd,45.159.112.142,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=45.159.112.142
2025-10-18 08:23:19+07:00,TDC-250818413,748529,sshd,45.159.112.142,32860,admin,unknown,,fail,invalid_user,Disconnected from invalid user admin 45.159.112.142 port 32860 [preauth]
2025-10-18 08:23:19+07:00,TDC-250818413,748529,sshd,45.159.112.142,32860,,unknown,,info,disconnect,Received disconnect from 45.159.112.142 port 32860:11: Bye Bye [preauth]
2025-10-18 08:23:19+07:00,TDC-250818413,748531,sshd,49.248.175.215,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=49.248.175.215
2025-10-18 08:23:19+07:00,TDC-250818413,748533,sshd,192.145.169.91,37228,admin,unknown,,fail,invalid_user,Invalid user admin from 192.145.169.91 port 37228
2025-10-18 08:23:19+07:00,TDC-250818413,748531,sshd,49.248.175.215,55456,test,unknown,,fail,invalid_user,Invalid user test from 49.248.175.215 port 55456
2025-10-18 08:23:19+07:00,TDC-250818413,748529,sshd,45.159.112.142,32860,admin,password,ssh2,fail,wrong_password,Failed password for invalid user admin from 45.159.112.142 port 32860 ssh2
2025-10-18 08:23:19+07:00,TDC-250818413,748531,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:23:20+07:00,TDC-250818413,748533,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:23:20+07:00,TDC-250818413,748533,sshd,192.145.169.91,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=192.145.169.91
2025-10-18 08:23:20+07:00,TDC-250818413,748531,sshd,49.248.175.215,55456,test,password,ssh2,fail,wrong_password,Failed password for invalid user test from 49.248.175.215 port 55456 ssh2
2025-10-18 08:23:21+07:00,TDC-250818413,748531,sshd,49.248.175.215,55456,,unknown,,info,disconnect,Received disconnect from 49.248.175.215 port 55456:11: Bye Bye [preauth]
2025-10-18 08:23:21+07:00,TDC-250818413,748531,sshd,49.248.175.215,55456,test,unknown,,fail,invalid_user,Disconnected from invalid user test 49.248.175.215 port 55456 [preauth]
2025-10-18 08:23:22+07:00,TDC-250818413,748533,sshd,192.145.169.91,37228,admin,unknown,,fail,invalid_user,Disconnected from invalid user admin 192.145.169.91 port 37228 [preauth]
2025-10-18 08:23:22+07:00,TDC-250818413,748533,sshd,192.145.169.91,37228,admin,password,ssh2,fail,wrong_password,Failed password for invalid user admin from 192.145.169.91 port 37228 ssh2
2025-10-18 08:23:22+07:00,TDC-250818413,748533,sshd,192.145.169.91,37228,,unknown,,info,disconnect,Received disconnect from 192.145.169.91 port 37228:11: Bye Bye [preauth]
2025-10-18 08:23:23+07:00,TDC-250818413,748535,sshd,185.169.6.22,,root,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.169.6.22  user=root
2025-10-18 08:23:25+07:00,TDC-250818413,748535,sshd,185.169.6.22,35410,root,password,ssh2,fail,wrong_password,Failed password for root from 185.169.6.22 port 35410 ssh2
2025-10-18 08:23:27+07:00,TDC-250818413,748535,sshd,185.169.6.22,35410,,unknown,,info,disconnect,Received disconnect from 185.169.6.22 port 35410:11: Bye Bye [preauth]
2025-10-18 08:23:27+07:00,TDC-250818413,748535,sshd,185.169.6.22,35410,,unknown,,info,disconnect,Disconnected from authenticating user root 185.169.6.22 port 35410 [preauth]
2025-10-18 08:23:31+07:00,TDC-250818413,748537,sshd,185.169.6.22,,root,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=185.169.6.22  user=root
2025-10-18 08:23:32+07:00,TDC-250818413,748537,sshd,185.169.6.22,46780,root,password,ssh2,fail,wrong_password,Failed password for root from 185.169.6.22 port 46780 ssh2
2025-10-18 08:23:33+07:00,TDC-250818413,748537,sshd,185.169.6.22,46780,,unknown,,info,disconnect,Received disconnect from 185.169.6.22 port 46780:11: Bye Bye [preauth]
2025-10-18 08:23:33+07:00,TDC-250818413,748537,sshd,185.169.6.22,46780,,unknown,,info,disconnect,Disconnected from authenticating user root 185.169.6.22 port 46780 [preauth]
2025-10-18 08:23:35+07:00,TDC-250818413,748539,sshd,171.254.92.61,33492,admin,unknown,,fail,invalid_user,Invalid user admin from 171.254.92.61 port 33492
2025-10-18 08:23:35+07:00,TDC-250818413,748539,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:23:35+07:00,TDC-250818413,748539,sshd,171.254.92.61,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=171.254.92.61
2025-10-18 08:23:37+07:00,TDC-250818413,748539,sshd,171.254.92.61,33492,admin,password,ssh2,fail,wrong_password,Failed password for invalid user admin from 171.254.92.61 port 33492 ssh2
2025-10-18 08:23:39+07:00,TDC-250818413,748541,sshd,49.248.175.215,34152,ubnt,unknown,,fail,invalid_user,Invalid user ubnt from 49.248.175.215 port 34152
2025-10-18 08:23:39+07:00,TDC-250818413,748539,sshd,171.254.92.61,33492,admin,unknown,,fail,invalid_user,Connection closed by invalid user admin 171.254.92.61 port 33492 [preauth]
2025-10-18 08:23:39+07:00,TDC-250818413,748541,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:23:39+07:00,TDC-250818413,748541,sshd,49.248.175.215,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=49.248.175.215
2025-10-18 08:23:42+07:00,TDC-250818413,748541,sshd,49.248.175.215,34152,ubnt,password,ssh2,fail,wrong_password,Failed password for invalid user ubnt from 49.248.175.215 port 34152 ssh2
2025-10-18 08:23:43+07:00,TDC-250818413,748541,sshd,49.248.175.215,34152,,unknown,,info,disconnect,Received disconnect from 49.248.175.215 port 34152:11: Bye Bye [preauth]
2025-10-18 08:23:43+07:00,TDC-250818413,748541,sshd,49.248.175.215,34152,ubnt,unknown,,fail,invalid_user,Disconnected from invalid user ubnt 49.248.175.215 port 34152 [preauth]
2025-10-18 08:23:46+07:00,TDC-250818413,748543,sshd,45.159.112.142,52314,user,unknown,,fail,invalid_user,Invalid user user from 45.159.112.142 port 52314
2025-10-18 08:23:47+07:00,TDC-250818413,748543,sshd,45.159.112.142,,,unknown,,fail,auth_failure_pam,pam_unix(sshd:auth): authentication failure; logname= uid=0 euid=0 tty=ssh ruser= rhost=45.159.112.142
2025-10-18 08:23:47+07:00,TDC-250818413,748543,sshd,,,unknown,unknown,,fail,check_pass_unknown,pam_unix(sshd:auth): check pass; user unknown
2025-10-18 08:23:49+07:00,TDC-250818413,748543,sshd,45.159.112.142,52314,user,password,ssh2,fail,wrong_password,Failed password for invalid user user from 45.159.112.142 port 52314 ssh2
